Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Bowler
10,0,,,,,,Sri Lanka,Leeds,06-07-2019,Ravindra Jadeja
10,0,,,,,,New Zealand,Manchester,09-07-2019,Ravindra Jadeja
1,0,,,,,,West Indies,Providence,08-08-2019,Ravindra Jadeja
4,0,,,,,,West Indies,Port of Spain,11-08-2019,Ravindra Jadeja
5,0,,,,,,West Indies,Port of Spain,14-08-2019,Ravindra Jadeja
10,0,,,,,,West Indies,Chennai,15-12-2019,Ravindra Jadeja
10,0,,,,,,West Indies,Visakhapatnam,18-12-2019,Ravindra Jadeja
10,0,,,,,,West Indies,Cuttack,22-12-2019,Ravindra Jadeja
8,0,,,,,,Australia,Wankhede,14-01-2019,Ravindra Jadeja
10,0,,,,,,Australia,Rajkot,17-01-2019,Ravindra Jadeja
